|cluster_label|spans
31|machine learning|['machine learning', 'deep learning', 'metric learning', 'Machine Learning', 'machine-learning']
32|batteries|['EV batteries', 'batteries', 'vaccines', 'motor']
33|computer chip|['chip', 'computer chip', 'Data Processor', 'hardware', 'computer chips']
34|manufacturing|['major marketing', 'manufacturing', 'maker', 'develop-', 'manufacturing locations', 'vendors', 'semiconductor supply chain', 'ship', 'International Publishing']
35|commercial stage|['final destination', 'commercial stage', 'onstage speaking', 'Stage 2']
36|manage|['management systems', 'managed —', 'manage', 'leadership', 'continuous version']
37|Data Collectors|['GDPR', 'Data Collector', 'data collection implications', 'Data Collectors', 'data collection', 'Collector', 'data transmission', 'continual scanning', 'data serialization']
38|Virtual Reality|['virtual machine', 'video games', 'virtual assistants', 'virtual reality', 'virtual realities', 'virtual reality technology', 'Virtual Reality', 'virtual experiences', 'virtual sneakers']
39|networks|['institutional network', 'network', 'CNNs', 'networks', 'graph neural networks', 'social network', 'social networks', 'diverse network', 'mentors', 'global network', 'magazines', 'Communication Networks', 'critic network', 'NETWORKS', 'CNN', 'IEEE Network', 'NFS network', 'Networks', 'reachability network']
40|page|['source page', 'page', 'current page', 's page', 'page navigation', 'cooking page', 'Page 2', 'web page']
41|CMPs|['CMPs', 'CMP', 'CMU', 'EMNLP', 'CG', 'MDPs', 'compensation package']
42|figure 2a|['figure 2a', 'Table 2a', 'DOUBLE', 'MA 2']
43|image|['Docker image', 'deeper', 'image', 'items', 'realistic avatars', 'GIFs', 'static image', 'lone image', 'input image', 'result']
44|DFN|['DPAs', 'D1', 'DDPG', 'DFNs', 'DFN']
45|data storage|['data storage', 'data latency', 'Data storage', 'data-protection', 'cloud storage', 'variable storage']
46|decision-|['converging decisions', 'leasing decisions', 'decision-', 'overdeter-', 'down—', 'moral reasons', 'men-', 'from 7']
47|videos|['video recommendations', 'Natural Video', 'video-centric', 'scary situations', 'TV shows', 'videos', 'video sequences']
48|Founda- tion|['data collec- tion', 'limita- tion', 'Founda- tion', 'generaliza- tion', 'augmenta- tion', 'func- tion', 'underes- timation', 'contribu- tion']
49|Computer|['Computer', 'CPUs', 'machine', 'computer games', 'computer', 'CPU', 'USE', 'notebooks', 'GB', 'GoBI']
50|CA|['Stefano Calzavara', 'CA', 'DC', 'SAC', 'U.S.']
51|natural|['natural persons', 'natural disasters', 'natural distortion', 'natural']
52|virtual reaction|['Behavioural Cloning', 'virtual reaction', 'virtual reaction barriers']
53|DRL model|['KL', 'UCB-DrAC', 'DistilBERT model', 'DRL algorithms', 'DRL', 'DRL models', 'DRL model', 'DRL datasets']
54|vision|['computer vision', 'Computer Vision', 'vision transformers', 'residual vision', 'Low Vision', 'defense', 'vision', 'clear vision', 'Vision Transformers']
55|BERT|['BERT', 'CARLA', 'BERT language']
56|Visual Observations|['Visual Observations', 'visual representation', 'visual observations', 'image observations', 'Visual Reinforce-', 'visual control', 'visual analysis', 'visual modeling']
57|GPU|['GPUs', 'GPGPUs', 'GPU hardware', 'CUDA', 'GPU', 'NVIDIA GPU']
58|crucial modifications|['correlation corrections', 'crucial modifications', 'structural modifications', 'fine-tuning']
59|Data Analysis|['cluster analysis', 'Data analysis', 'noise analysis', 'diagnostic value', 'data clustering', 'Data Analysis', 'AST analysis', 'data analysis', 'graph analysis', 'metrics', 'comparative analysis']
60|data management|['RDMs', 'data centers', 'data modernization', 'data management', 'data generation', 'data sources', 'data carriers', 'cloud migrations', 'data layer', 'data management layer', 'data lineage', 'data integration']
61|CASCI calculations|['CASCI calculation', 'CASCI calculations']
62|vector|['FCI vector', 'vector', 'residual vector', 'CI vector']
63|QC-QMC|['QC-QMC', 'AFQMC']
64|JVPs|['J. Paldus', 'J. Helsen', 'JVPs', 'VJPs', 'GLNs']
65|A. L.|['D.', 'G. Li', 'L. D.', 'AR', 'LFMs', 'LV', 'A. Lefrancq', 'A. L.']
66|data visualizations|['data visualization', 'visual generalization', 'data visualizations', 'data exploration']
67|exact matching|['matching excitation levels', 'exact wavefunctions', 'RETSimPartial-Dup', 'exact matching', 'DEDUPLICATION', 'marginal matching']
68|EC|['CC', 'EU- SIPCO', 'CE', 'ESG', 'AWS', 'XIX', 'EN', 'EC', 'KC-S6R3']
69|CIO|['CI', 'CLOP', 'CIOs', 'CTOs', 'CIO', 'CIO seems', 'CRAs', 'CRIU']
70|NeurIPS|['neu- rons', 'NFTs', 'ERPs', 'NeurIPS']
71|PUs|['PUs', 'PU', 'PATs']
72|convolutional layers|['convolutional layers', 'convolutional layer', 'convolutional neural networks', 'L2 normalization layer']
73|FN|['NN', 'function definitions', 'FP', 'FN', 'FFNs', 'FFN layer']
74|Data extraction|['parameter extraction', 'Data extraction', 'knowledge extraction', 'feature extraction network']
75|Gas Extraction|['rameter extraction', 'Gas', 'Gas Extraction']
76|Computing Systems|['Computing Systems', 'computer systems', 'Web Information Systems', 'computing solutions', 'Computing Systems 3247–3256', 'computing session', 'cluster computations', 'computing systems', 'scheduling systems']
77|Communication 1|['repre- sentations', 'mutual-information', 'communication underpinning', 'Communication 1', 'communication management']
78|visual RL|['Visual RL', 'visual RL']
79|data augmentations|['Data Augmentation', 'data augmentations', 'data sparsity']
80|AGI|['RAD', 'AGI', 'GAI', 'ATIH meeting', 'G. Synnaeve', 'vari-', 'arXiv:2101.05782', 'AGIs']
81|simulator|['simulator', 'manipula- tion simulator', 'computer simulations']
82|methods|['methods', 'methodology']
83|distributional learning|['representation learning', 'distributional learning', 'DISTRIBUTIONAL', 'multimodal learning', 'unsupervised learning']
84|forcement Learning|['rep- resentation learning', 'forcement learning', 'force direction', 'forcement Learning']
85|T. K.|['S. 2017', 'K. K.', 'TPPs', 'T. K.', 'T. Planet', 'J. K.']
86|IME|['Altch´e', 'IMEs', 'IME', 'VAE']
87|diffusion models|['latent diffusion model', 'diffusion models', 'conditional diffusion models']
88|textual descriptions|['contextual summarization', 'neutral description', 'manual annotations', 'textual description', 'general description', 'textual representation', 'textual descriptions', 'natural language descriptions']
89|Financial services|['financial services', 'ATMs', 'banking services', 'financial analysis', 'financial technology', 'financial institutions', 'Financial services']
90|News Classification|['recommending news', 'AllSides news', 'News Classification', 'fake news', 'Text Classification']
91|manual intervention|['mitigation help', 'commercial intervention', 'Assistive Devices', 'manual intervention', 'manual prompt']
92|R+ 3|['division', 'Equation 3', 'R+ 3', 'R+']
93|trustworthy sources|['Reuters $', 'fake references', 'trustworthy sources', 'ground-truth', 'attribution systems']
94|TDR|['CBRE', 'TDR', 'TD-', 'TD value', 'TDR methods', 'TDR-TD3', 'TD3', 'TNR', 'Huber PR']
95|ACL|['ACL', 'ACM', 'Membership', 'chal- lenging']
96|scraping|['scraping', 'web scraping']
97|text manipulations|['adversarial manipulations', 'stripping punctuation', 'adversarial text manipulations', 'text manipulations', 'manipulation', 'speech editing', 'text generation']
98|Actor Network|['actor learning', 'actor network', 'Actor-Critic', 'Actor Network', 'actor', 'actor-network', 'Actor Learning']
99|Data Filtering Networks|['Data Filtering Networks', 'data filtering networks', 'data filtration', 'filtering network']
100|forcing retailers|['government regulation', 'forcing retailers', 'shopping experiences']
101|Industrial Classification|['classify items', 'Industrial Classification', 'industrial classification']
102|SIC|['SG', 'BVI', 'SIC description', 'SIC']
103|AM radio|['federal radio', 'AM radio']
104|Data Auditing|['ORL-AUDITOR', 'Data Auditing', 'data auditing']
