|cluster_label|spans
19|Natural language|['natural language', 'natural language generation', 'NLP', 'natural language reasoning', 'natural language prompt', 'NLP systems', 'natural language descriptions', 'Natural language', 'natural-languagereasoning', 'natural language supervision', 'NLP datasets']
20|BERT language|['BERT', 'BERT language', 'BERT language model']
21|models|['model', 'models', 'model seems', 'modeling', 'unCLIP model', 'large models', 'modelling', 'computer models', 'Cerebras Systems', 'IntheAI-servicesmodel', 'final model']
22|convolutional neural networks|['convolutional neural networks', 'Convolutional Neural Networks', 'convolutional layers']
23|Transformers|['transformers', 'Transformers', 'vision transformers']
24|short sentences|['RaPiD', 'short supply', 'unscrambling sentences', 'complete sentences', 'short sentences']
25|Internet|['internet', 'mediaTrust', 'server', 'radio', 'Internet', 'web-']
26|videos|['video', 'viral videos', 'video generation', 'fake videos', 'videos']
27|page|['page', 'LINKED', 'web page', 'guide', 'home page']
28|Github page|['Github page', 'GitHub seems']
29|variation|['large variety', 'PORTION', 'stochastic variation', 'final version', 'variation']
30|AT|['OF', 'OK', 'AT', 'CA', 'SE].Szabó', 'December']
31|doctor|['CRUISE', 'medicines', 'doctor', 'Gov']
32|LM|['DFL', 'LM', 'LG].Bansal', 'LLMs', 'LLM', 'LP', 'RLHF', 'CogLM']
33|code writing|['code', 'code writing', 'writing code', 'SQL code', 'assistive writing application', 'computer code', 'creative writing']
34|text|['text-', 'text embedding', 'text captions', 'text descriptions', 'text generation', 'text systems', 'text', 'text prompt', 'Text-']
35|language models|['natural language models', 'narrow language model', 'language models', 'masked language models', 'large language models', 'NLP models', 'text models', 'visual language models', 'models language', 'natural language model', 'language modeling', 'Language Models', 'language systems', 'AI language model', 'forthcoming language models', 'large language model', 'Large language models', 'Language models', 'large language models7', 'guide language models', 'autoregressive language model', 'language representations', 'general Language Model']
36|GIRAFFE|['ELMo', 'GauGAN', 'starling-cage', 'GIRAFFE', 'ChristopherMcComb']
37|Contextual calibration|['contextual information', 'spatial location', 'contextual calibration procedure', 'contextual calibrations', 'Contextual calibration', 'contextual calibration method']
38|multiplexing|['multi-', 'data multiplexing', 'multiplexing layer', 'multiplexing']
39|GPT models|['GPT language model', 'GPT models', 'GPT-3 language models', 'GPT neural net', 'SFT model']
40|GPT-3|['GPT-2', 'GPT-3', 'GPT-3 technology', 'GPT-3s limitations', 'GPT']
41|video games|['developing games', 'video games', 'games']
42|language|['multi-language', 'language', 'Romanian language', 'speech-', 'language manipulation', 'large language', 'language generation', 'general language']
43|StyleGAN|['StyleGAN', 'StyleGAN technology', 'StyleGAN3-R', 'StyleGAN models', 'ManiGAN']
44|demultiplexing layer|['denormalization layer', 'demultiplexing layer', 'demultiplexing']
45|general-izations|['lazy regularization', 'ComplexE2Esystems', 'InEmotion-OrientedSystems', 'modesofrepresenta-tion', 'general-izations']
46|computer learning|['lifelong learning', 'meta-learning', 'unsupervised learning', 'computer learning', 'reinforcement learning']
47|text-classification|['sentiment analysis', 'text classification', 'fact retrieval', 'spam filters', 'text summarizations', 'sentence classification', 'text-classification', 'classifying sentences']
48|named entity recognition|['information extraction', 'entity recognition', 'named entity recognition', 'recognizing names']
49|robot|['machines', 'natural motions', 'robot', 'machine', 'Megatron-Turing', 'robotic systems', 'Concerns“Hey Robot']
50|financial entity|['financial services', 'financial entity', 'another entity']
51|DATA|['DATA', 'data sets', 'data extraction', 'data compression', 'data needed', 'DataMUX', 'data containing', 'data sources', 'data theft', 'reputation damage']
52|Diffusion Models|['diffusion models', 'image diffusion model', 'conditional diffusion models', 'Diffusion Models', 'guiding diffusion models']
53|APIs|['resource-constraineddevices', 'API', 'APIs', 'APIs filters']
54|KenjiShi-mada|['GirishSastry', 'JamesY.,Kuan-HaoHuang', 'KenjiShi-mada']
55|monitoring services|['monitoring services', 'center services', 'monitoring', 'computing services']
56|data distribution|['data distribution', 'data distributions', 'distributionAI']
57|simulations|['simulations', 'realistic fakes', 'computer simulations']
58|fake news|['fake news', 'fake-news']
59|devices|['memristor', 'another limitation', 'mobile devices', 'devices', 'grouping devices']
